system,tier,target,term_name,term_index,true_coef_median,true_coef_ci_low,true_coef_ci_high,recovered_coef_median,recovered_coef_ci_low,recovered_coef_ci_high,abs_error_clean,rel_error_clean,zero_truth,error_display,error_type,selected_clean,active_true_clean,term_role,false_positive_count,selected_rate,active_true_rate
mueller_brown,8-bistable,b1,x^3,6,35.19660896438577,10.45184935837588,54.52799386756849,24.211939772993052,0.0075513478123506,118.7550004546975,10.984669191392715,0.3120945316779728,False,0.312,rel,False,True,active_missed,0,0.0,1.0
mueller_brown,8-bistable,b1,x^2y,7,-44.05199759943117,-105.68158567116916,24.274001824050583,-0.047396770385173,-180.00426442280428,30.6792449567716,44.004600829046,0.9989240721654407,False,0.999,rel,False,True,active_missed,0,0.0,1.0
mueller_brown,8-bistable,b1,xy^2,8,-8.515096035268261,-76.08406029046198,39.25195882110332,17.689081994186584,0.0388105427287884,181.8077878655261,26.204178029454845,3.077379036116685,False,3.08,rel,False,True,active_missed,0,0.0,1.0
mueller_brown,8-bistable,b1,y^3,9,14.472890890351962,6.275775357422178,28.625421692884142,-0.3811240869955702,-45.11279344411104,11.484633439593567,14.854014977347532,1.0263336530264067,False,1.03,rel,False,True,active_missed,0,0.0,0.9
mueller_brown,8-bistable,b1,x^4,10,4.346653932865457,2.081348078358788,6.591104440144489,0.0010913770969556,-0.7601305969660294,1.1482943055836252,4.345562555768502,0.9997489155764845,False,1.000,rel,False,True,active_missed,0,0.0,0.6
mueller_brown,8-bistable,b1,x^3y,11,-7.855976944771408,-15.710209225911592,5.157891811953448,0.1107158237474774,-0.0064533222730205,1.569213970324682,7.966692768518885,1.0140931961137138,False,1.01,rel,False,True,active_missed,0,0.0,0.9
mueller_brown,8-bistable,b1,x^2y^2,12,-1.7669187198041545,-22.985917868133797,7.467494158668011,-0.2038534308634322,-31.127753465308675,0.0125740211675507,1.5630652889407224,0.8846277258944728,False,0.885,rel,False,True,active_missed,0,0.0,0.8
mueller_brown,8-bistable,b1,xy^3,13,8.552425047950152,3.5113449565583936,21.93989332336597,0.3152004804910612,-0.0261295714935357,4.41680925471073,8.23722456745909,0.9631448999875645,False,0.963,rel,False,True,active_missed,0,0.0,0.9
mueller_brown,8-bistable,b1,y^4,14,-3.735143043862784,-5.659086230757211,-2.300531330515124,-1.2501026474736368,-7.250174584751736,0.0329132149664641,2.485040396389147,0.6653133138963228,False,0.665,rel,False,True,active_missed,0,0.0,0.5
mueller_brown,8-bistable,b2,1,0,-76.19358000391634,-105.05775747364989,-24.634862711245884,-235.36384842621212,-519.0081417985477,13.22347626546698,159.17026842229578,2.089024671292705,False,2.09,rel,False,True,active_missed,0,0.0,1.0
mueller_brown,8-bistable,b2,x,1,-108.6931278645774,-177.21940204793663,-5.001482759121556,-280.67730628082825,-830.5891792022531,66.9772053895827,171.98417841625084,1.5822911879997494,False,1.58,rel,False,True,active_missed,0,0.0,1.0
mueller_brown,8-bistable,b2,y,2,96.46676972510016,-0.7634870341775235,140.93722796201706,414.1617596379984,-6.756667711945199,814.4172976505765,317.6949899128982,3.2933101296770757,False,3.29,rel,False,True,active_missed,0,0.0,0.8
mueller_brown,8-bistable,b2,x^2,3,-55.788219196954174,-112.91229054202552,7.85174132379186,-118.9075644599399,-461.95261247207065,217.78111734804625,63.11934526298573,1.1314099315511368,False,1.13,rel,False,True,active_missed,0,0.0,1.0
mueller_brown,8-bistable,b2,xy,4,55.080593259949865,-105.88063332092354,150.70075628527516,333.438956278486,0.0926196245337932,777.438791694634,278.3583630185361,5.053655862144385,False,5.05,rel,False,True,active_missed,0,0.0,1.0
mueller_brown,8-bistable,b2,y^2,5,-16.544135388824746,-50.16234245832371,50.2591316289508,-222.09311503586048,-402.1316392663597,-0.3686939781373494,205.54897964703574,12.424280557198548,False,12.4,rel,False,True,active_missed,0,0.0,1.0
mueller_brown,8-bistable,b2,x^3,6,-14.865988861336932,-30.9511552029158,2.29946943505508,-19.35163459072482,-67.97841164685823,25.479480267966174,4.485645729387889,0.3017388060241345,False,0.302,rel,False,True,active_missed,0,0.0,0.9
mueller_brown,8-bistable,b2,x^2y,7,5.777277761295454,-67.76101598850344,54.72913785196878,81.28252023330187,-94.65464920668497,220.8754372346296,75.50524247200642,13.06934608161815,False,13.1,rel,False,True,active_missed,0,0.0,1.0
mueller_brown,8-bistable,b2,xy^2,8,34.10920421501491,-10.258314074745485,115.55413597709332,-100.2514703842207,-196.4731119230318,-0.0569592254719996,134.3606745992356,3.9391324919884787,False,3.94,rel,False,True,active_missed,0,0.0,0.9
mueller_brown,8-bistable,b2,y^3,9,-19.621189729191396,-35.06496164760318,-3.2176271086052184,11.854383855329296,-29.09337112721601,57.36479968705466,31.475573584520692,1.6041623377043723,False,1.60,rel,False,True,active_missed,0,0.0,0.9
mueller_brown,8-bistable,b2,x^4,10,-2.1488684561456486,-3.3265754635884712,-0.6368438336090249,0.3264035842523409,-0.002384655232466,23.34215089909868,2.4752720403979893,1.1518955631364238,False,1.15,rel,False,True,active_missed,0,0.0,0.2
mueller_brown,8-bistable,b2,x^3y,11,1.7077616200785957,-10.528305598406954,6.909922838419453,-0.12431137853439,-0.911637965834458,1.447886961290518,1.8320729986129858,1.0727919968881072,False,1.07,rel,False,True,active_missed,0,0.0,0.9
