system,tier,seed,run,variant_id,library,R,n_steps,dt,objective_drift_rel_l2,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,generator_action_error,scope_metric_contract,runtime_sec,run_status,error,traceback_tail
van_der_pol,7-limit-cycle,9604,3,WG_SINDY_FROZEN,B,16,1200,0.01,0.028436480298928358,0.028436480298928358,0.015735746451576115,0.056178669620745116,0.02154596508214714,0.0020986684942587396,0.022154526023541697,,,,1.0,0.03405236531039635,drift+tensor+psd,9.706646329985233,OK,,
fitzhugh_nagumo,7-limit-cycle,9604,3,WG_SINDY_FROZEN,B,16,1200,0.01,0.08057800982810728,0.08057800982810728,0.03894309444813676,0.055261175134934386,0.4151214046871967,0.008991786221163395,0.02653711927694499,,,,1.0,0.25504251142269396,drift+tensor+psd,9.859648902987828,OK,,
stuart_landau,7-limit-cycle,9604,3,WG_SINDY_FROZEN,B,16,1200,0.01,0.25005774903206957,0.25005774903206957,0.029492924984704474,0.11357554102968641,0.33631124607958296,0.007299575333755692,0.008681464022930527,,,,1.0,0.28354031316072703,drift+tensor+psd,10.023140541976318,OK,,
brusselator,7-limit-cycle,9604,3,WG_SINDY_FROZEN,B,16,1200,0.01,0.017172670176414294,0.017172670176414294,0.10264360620035685,0.004042390616626874,0.022564803410627894,0.008704914547629488,0.0819939660359999,,,,1.0,0.024656209843865372,drift+tensor+psd,8.331622258003335,OK,,
maier_stein,8-bistable,9604,3,WG_SINDY_FROZEN,B,16,1200,0.01,0.2358853224281614,0.2358853224281614,0.033083455352545164,0.3147722510799838,0.13088032311213524,0.02459001986194232,0.03980403194799468,,,,1.0,0.19686314173910796,drift+tensor+psd,11.014165423024679,OK,,
duffing,8-bistable,9604,3,WG_SINDY_FROZEN,B,16,1200,0.01,0.23254488585780608,0.23254488585780608,0.011209831632612426,0.02002163546830256,0.30531846749512515,0.004136851779554715,0.015303826574325498,,,,1.0,0.1914581509871932,drift+tensor+psd,10.12132925100741,OK,,
mueller_brown,8-bistable,9604,3,WG_SINDY_FROZEN,C,16,1000,0.004,1.2351207558994712,1.2351207558994712,0.14306876893713305,1.493952806910411,0.9064047054694236,0.08641634792874966,0.18098978624872633,,,,1.0,1.3069313123909923,drift+tensor+psd,18.778109620994655,OK,,
sabr,9-financial,9604,3,WG_SINDY_FROZEN,F,16,1600,0.003968253968253968,,,0.15666009547293158,,,0.15823710566072569,0.21582544116748045,0.11114048110679708,0.9951874945855116,1.0,1.0,1.0063428559292678,drift+tensor+psd,25.375265449984,OK,,
gbm_2d,9-financial,9604,3,WG_SINDY_FROZEN,A,16,1600,0.003968253968253968,2.907598909216813,2.907598909216813,0.11450800698828753,0.791619451019815,5.442577984350873,0.06756112678568274,0.09900058244180157,0.2527969097446459,0.9701683696631621,1.0,1.0,1.9752265964589977,drift+tensor+psd,8.148170588014182,OK,,
two_factor_vasicek,9-financial,9604,3,WG_SINDY_FROZEN,A,16,1600,0.003968253968253968,0.3150684535978549,0.3150684535978549,1.0,0.30343616536773643,0.32885151174295074,1.0,1.0,1.0,,0.0,1.0,0.3588687080375859,drift+tensor+psd,13.336083386995597,OK,,
