system,tier,seed,run,variant_id,library,R,n_steps,dt,objective_drift_rel_l2,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,generator_action_error,scope_metric_contract,runtime_sec
correlated_ou,1,9104,3,WG_SINDY_FROZEN,A,16,1600,0.01,0.3244795531562578,0.3244795531562578,0.054412375018116695,0.33185431631858064,0.3169522314480279,0.050805448292086886,0.008319246563248495,0.07971525394248036,1.0000000000000002,1.0,1.0,0.3297302452973925,drift+tensor+psd,11.50316434801789
coupled_ou,1,9104,3,WG_SINDY_FROZEN,A,16,1600,0.01,0.2056241949811876,0.2056241949811876,0.0448390727445763,0.25648650544764445,0.13572421768838044,0.0006652110653280052,0.040105079182467425,,,,1.0,0.1972704857113743,drift+tensor+psd,11.434287273994414
rotational_ou,2,9104,3,WG_SINDY_FROZEN,A,16,1600,0.01,0.05569981839125781,0.05569981839125781,0.03706542898315304,0.05301247303165226,0.05835311553362422,0.010441058506680099,0.0374908962379601,,,,1.0,0.0598880770235967,drift+tensor+psd,11.280890600988641
spiral_sink_corr,2,9104,3,WG_SINDY_FROZEN,A,16,1600,0.01,0.09177140337813548,0.09177140337813548,0.034881234500815685,0.11137888048405856,0.07251445695930914,0.015219387745845418,0.019144052681053198,0.07337104345599184,1.0000000000000004,1.0,1.0,0.09018423885793925,drift+tensor+psd,10.974133266980061
cir_pair,5,9103,2,WG_SINDY_FROZEN,F,16,2600,0.003968253968253968,0.68113218503474,0.68113218503474,0.10537795733831085,0.5080434274730812,0.8705171671651516,0.09464218445612423,0.13858474878196345,0.059908310389796965,0.9985932397902497,1.0,1.0,0.7300361291400078,tensor+leverage+CIR_pair_drift,23.080426150001585
double_well_transverse,3,9104,3,WG_SINDY_FROZEN,B,16,1600,0.01,0.4088798024475077,0.4088798024475077,0.01931749425436131,0.31015622424655237,0.462022387147783,0.00529016131287029,0.02680196563348247,,,,1.0,0.4486678680839492,drift+tensor+psd,17.5929258929973
heston_sv,5,9103,2,WG_SINDY_FROZEN,E,16,2600,0.003968253968253968,0.1485462439958825,3.3476710878129348,0.038109937738098225,3.347779711238782,0.1485462439958825,0.027967688254205758,11599.281128058941,0.11776388601224178,0.9937036032282993,1.0,1.0,1714.7355847950494,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null,40.964766026998404
gradient_potential,3,9104,3,WG_SINDY_FROZEN,B,16,1600,0.01,0.3674479013941699,0.3674479013941699,0.02834353162438048,0.4048216965943982,0.3344389041144256,0.007684647866640977,0.021015601224333155,,,,1.0,0.38106863363897014,drift+tensor+psd,18.414773096999852
nongradient_circulation,3,9104,3,WG_SINDY_FROZEN,B,16,1600,0.01,0.2892932513175559,0.2892932513175559,0.0174858775411207,0.28525368055927103,0.29330353255135155,0.0012125791891305384,0.02469901776338942,,,,1.0,0.3060399288989365,drift+tensor+psd,20.141892745014047
diag_multiplicative,4,9104,3,WG_SINDY_FROZEN,A,16,1600,0.01,0.2789584755103253,0.2789584755103253,0.1066365632908981,0.36597410116405416,0.05986132172967922,0.09858614331945745,0.11740949353109549,,,,1.0,0.25226279951916103,drift+tensor+psd,18.271383717976278
nondiag_cholesky,4,9104,3,WG_SINDY_FROZEN,C,16,1600,0.01,0.2790410921393734,0.2790410921393734,0.08015649623193194,0.3447200171957631,0.07174485127524814,0.0764518367817746,0.06345022884560915,0.4568599185759486,0.8945147944162851,0.959731543624161,1.0,0.2358101350664598,drift+tensor+psd,18.53043673900538
heston_logsv,5,9104,3,WG_SINDY_FROZEN,D,16,2600,0.003968253968253968,0.05774948959697824,0.2670945078455807,0.08827038343353259,0.758731179257574,0.05774948959697824,0.08304075367617206,0.3499832274920942,0.08576585076413157,0.9965393123378404,1.0,1.0,0.3149927642866809,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null,18.526359320007032
indep_ou,1,9105,4,WG_SINDY_FROZEN,A,16,1600,0.01,0.17483731525680193,0.17483731525680193,0.03541267555896542,0.1104014270181277,0.22129262037586625,0.02893408542698222,0.0018882777850535728,,,,1.0,0.1856450601860596,drift+tensor+psd,12.508284660987556
correlated_ou,1,9105,4,WG_SINDY_FROZEN,A,16,1600,0.01,0.1607925542517554,0.1607925542517554,0.043440134172700054,0.0931471442383563,0.21131683286943811,0.022835787501832457,0.012455753182811013,0.07993742864507934,1.0000000000000002,1.0,1.0,0.1504608454470931,drift+tensor+psd,12.504852990998188
coupled_ou,1,9105,4,WG_SINDY_FROZEN,A,16,1600,0.01,0.3166216890321089,0.3166216890321089,0.024365971572329132,0.19905265150281534,0.3956363314540808,0.033712479594883216,0.007132311048439033,,,,1.0,0.3177386247521029,drift+tensor+psd,11.455983171996195
rotational_ou,2,9105,4,WG_SINDY_FROZEN,A,16,1600,0.01,0.07806048321553254,0.07806048321553254,0.025667931820633906,0.08640133089470226,0.06869037685492907,0.03009819041547479,0.02029247105729715,,,,1.0,0.09027349967532608,drift+tensor+psd,11.015635350020602
spiral_sink_corr,2,9105,4,WG_SINDY_FROZEN,A,16,1600,0.01,0.07469106530710344,0.07469106530710344,0.04902921713755232,0.07953583289920292,0.07060009427066807,0.03830431130807199,0.027960660477228422,0.08606462797300553,1.0000000000000002,1.0,1.0,0.08561236835888149,drift+tensor+psd,10.787730857991846
cir_pair,5,9104,3,WG_SINDY_FROZEN,F,16,2600,0.003968253968253968,0.3272189622631543,0.3272189622631543,0.21153200914289325,0.24619805862932104,0.41385333518025696,0.0718677191744722,0.22756857221045623,0.3233228370230436,0.9768097537689693,1.0,1.0,0.3792861784985696,tensor+leverage+CIR_pair_drift,23.82571013001143
double_well_transverse,3,9105,4,WG_SINDY_FROZEN,B,16,1600,0.01,0.2836596435920363,0.2836596435920363,0.03034799260403806,0.44546441999438874,0.09911402823909761,0.0012219453514759639,0.025342811881933085,,,,1.0,0.2713928070604761,drift+tensor+psd,17.0422325959953
heston_sv,5,9104,3,WG_SINDY_FROZEN,E,16,2600,0.003968253968253968,0.5237802071120324,0.7482753332018273,0.09497110593159666,0.7482836905700015,0.5237802071120324,0.09085832084138733,19826.031418321436,0.5842207223860554,0.9605366198997082,1.0,1.0,2808.5470511020026,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null,41.25777662100154
gradient_potential,3,9105,4,WG_SINDY_FROZEN,B,16,1600,0.01,0.2748141706583013,0.2748141706583013,0.008949083858617287,0.33127998363436456,0.22140975893318401,0.01262380040907183,0.0009010366524436423,,,,1.0,0.26440420550266924,drift+tensor+psd,19.392182266979944
nongradient_circulation,3,9105,4,WG_SINDY_FROZEN,B,16,1600,0.01,0.19508809866085935,0.19508809866085935,0.022922281178227255,0.2520263869294553,0.1119467743900303,0.0103029896106429,0.0012075599009727567,,,,1.0,0.18144488012577636,drift+tensor+psd,19.884875464980723
diag_multiplicative,4,9105,4,WG_SINDY_FROZEN,A,16,1600,0.01,0.266252244728069,0.266252244728069,0.13722024232775387,0.10823593587068182,0.3756224226087501,0.11355819668188971,0.14852201215103777,,,,1.0,0.28130802254517767,drift+tensor+psd,17.79007856998942
