system,seed,linear_spectral_gap_hat,linear_spectral_gap_true,current_cosine,irreversibility_scalar
coupled_ou,9110,0.5571914393854926,0.4999999999999999,,0.0873668512489154
rotational_ou,9110,1.0953390604650055,1.0,1.0,2.7788889013644638
spiral_sink_corr,9110,1.0447370232683904,1.0,0.9549645237170459,2.159705788879798
double_well_transverse,9110,0.7404203722630383,,,0.7734690202860729
gradient_potential,9110,1.158134155061652,,,0.00028103355276201404
diag_multiplicative,9110,0.8822866506783542,,,0.0
heston_sv,9109,1.973474863728763,,,444.52410812759763
nongradient_circulation,9110,1.5710954863827729,,0.7459257405257055,0.14120754812770264
nondiag_cholesky,9110,1.0122328584565052,,,0.0
heston_logsv,9110,2.394135519912224,,,1.018633134111452
cir_pair,9110,1.3011319944780682,,,0.0
heston_sv,9110,1.0791628304219476,,,37.242456373076614
