system,seed,stat,true_value,recovered_value,abs_error
coupled_ou,9102,var_x,0.6176769159543558,0.5723889994933044,0.04528791646105146
coupled_ou,9102,acf_x_lag1,0.9917505139450223,0.9914532016918094,0.00029731225321294463
coupled_ou,9102,mean_y,0.024082463325053087,-0.7905562135942501,0.8146386769193031
coupled_ou,9102,var_y,0.6924199012087862,0.4137471176841387,0.27867278352464747
coupled_ou,9102,cov_xy,0.350822964904037,0.33955404418073093,0.011268920723306097
coupled_ou,9102,acf_y_lag1,0.9924608871027729,0.987742070255056,0.004718816847716911
coupled_ou,9102,crosscorr_lag1,0.536234506665996,0.6952965605340194,0.1590620538680234
nondiag_cholesky,9101,mean_x,-0.01131071359470444,0.07667479875330337,0.0879855123480078
nondiag_cholesky,9101,var_x,0.13465436167474118,0.07578563786642285,0.05886872380831833
nondiag_cholesky,9101,acf_x_lag1,0.989899237734455,0.9833810756467245,0.0065181620877304836
nondiag_cholesky,9101,mean_y,0.013420451818749079,0.17712180562927154,0.16370135381052248
nondiag_cholesky,9101,var_y,0.0813705297055366,0.055299650902789495,0.026070878802747104
nondiag_cholesky,9101,cov_xy,0.005199003628430834,0.014297924737901573,0.00909892110947074
nondiag_cholesky,9101,acf_y_lag1,0.9892464328591214,0.9823042327745688,0.006942200084552597
nondiag_cholesky,9101,crosscorr_lag1,0.050317911492140495,0.22010001579671934,0.16978210430457885
cir_pair,9101,mean_x,0.03722407039641547,0.04406387985229998,0.006839809455884513
cir_pair,9101,var_x,0.0007573496496468195,0.00039859878359278805,0.0003587508660540314
cir_pair,9101,acf_x_lag1,0.9910831041954964,0.9823599812628729,0.00872312293262345
cir_pair,9101,mean_y,0.04073800536212157,0.03797523062344866,0.00276277473867291
cir_pair,9101,var_y,0.0008191659234171433,0.00034945551779701694,0.00046971040562012633
cir_pair,9101,cov_xy,-0.00039587697287502113,-0.00017061322432584955,0.00022526374854917158
cir_pair,9101,acf_y_lag1,0.9909061757165712,0.9812339244843346,0.009672251232236695
cir_pair,9101,crosscorr_lag1,-0.49803463248779056,-0.44882711310619894,0.049207519381591625
spiral_sink_corr,9102,mean_x,-0.019612004862447744,-0.22442092859722884,0.2048089237347811
spiral_sink_corr,9102,var_x,0.5097053883109927,0.3827380816692573,0.12696730664173533
spiral_sink_corr,9102,acf_x_lag1,0.9898749947784751,0.9863455937206606,0.0035294010578145185
spiral_sink_corr,9102,mean_y,-0.006023901148818262,0.19946944434912403,0.2054933454979423
spiral_sink_corr,9102,var_y,0.27536612230282453,0.13743575458610682,0.1379303677167177
spiral_sink_corr,9102,cov_xy,-0.0013584221658965777,0.004668432384945358,0.006026854550841935
spiral_sink_corr,9102,acf_y_lag1,0.9880677162506177,0.9780272249652616,0.010040491285356112
spiral_sink_corr,9102,crosscorr_lag1,0.01669036869456342,0.04355700645761512,0.0268666377630517
rotational_ou,9102,mean_x,-0.0024358039739205313,0.08537343527450594,0.08780923924842647
rotational_ou,9102,var_x,0.465020309761729,0.18128484972900136,0.28373546003272765
rotational_ou,9102,acf_x_lag1,0.9888491440540934,0.9743761313092748,0.014473012744818603
rotational_ou,9102,mean_y,0.014199491851829702,0.30792715883755745,0.2937276669857277
rotational_ou,9102,var_y,0.4697630220531391,0.22217752825094686,0.24758549380219222
rotational_ou,9102,cov_xy,-0.016001844916944053,-0.034415538855512365,0.01841369393856831
rotational_ou,9102,acf_y_lag1,0.9889424119678142,0.978151224073854,0.010791187893960164
rotational_ou,9102,crosscorr_lag1,-0.014711623143728928,-0.14554842714801097,0.13083680400428205
double_well_transverse,9102,mean_x,-0.14548278398476575,-0.25958542809106916,0.11410264410630341
double_well_transverse,9102,var_x,0.6887347075074591,0.4934904422885116,0.19524426521894755
double_well_transverse,9102,acf_x_lag1,0.9957677169781662,0.9951881375937471,0.0005795793844191044
double_well_transverse,9102,mean_y,-0.052306637359144946,0.25664564743401985,0.3089522847931648
double_well_transverse,9102,var_y,0.3225964169537198,0.1430371525628254,0.17955926439089442
double_well_transverse,9102,cov_xy,0.16809133822682565,0.17225252695185392,0.00416118872502827
double_well_transverse,9102,acf_y_lag1,0.992122756354426,0.9821860875556727,0.009936668798753323
double_well_transverse,9102,crosscorr_lag1,0.3597416070707314,0.6479922736059389,0.28825066653520753
diag_multiplicative,9102,mean_x,0.020808591306217324,0.1615150745838243,0.140706483277607
diag_multiplicative,9102,var_x,0.2830080453580219,0.20842783722751101,0.07458020813051086
diag_multiplicative,9102,acf_x_lag1,0.9900059139289736,0.9870319213184172,0.0029739926105564196
diag_multiplicative,9102,mean_y,-0.006013614021285516,-0.4526970206788282,0.4466834066575427
